"Date","Time","TT","Species.","X.","Comments.Observations"
"10-May-03",1800,"snake trap","Nerodia erythrogaster",1,""
"10-May-03",1800,"snake trap","Coluber constrictor",1,""
"10-May-03",1800,"snake trap","Coluber constrictor",1,"RELEASED"
"11-May-03",905,"bucket","Farancia erytrogramma",1,"HATCHLING"
"11-May-03",1815,"snake trap","Coluber constrictor",1,"MRKD  "
"13-May-03",945,"snake trap","Coluber constrictor",1,""
"14-May-03",800,"snake trap","Nerodia fasciata",1,""
"14-May-03",800,"snake trap","Pantherophis guttatus",1,"JUVENILE"
"18-May-03",2245,"bucket","Seminatrix pygaea",1,""
"19-May-03",740,"bucket","Nerodia fasciata",1,"JUV"
"20-May-03",830,"bucket","Storeria dekayii",1,""
"21-May-03",30,"bucket","Seminatrix pygaea",1,""
"21-May-03",1740,"snake trap","Seminatrix pygaea",1,""
"21-May-03",1740,"snake trap","Farancia abacura",1,""
"24-May-03",2330,"bucket","Nerodia fasciata",1,""
"28-May-03",1615,"snake trap","Nerodia erythrogaster",1,""
"28-May-03",1615,"snake trap","Nerodia erythrogaster",1,""
"28-May-03",1615,"snake trap","Coluber constrictor",1,""
"29-May-03",1645,"snake trap","Heterodon platirhinos",1,""
"29-May-03",1645,"snake trap","Agkistrodon piscivorus",1,""
"29-May-03",1645,"snake trap","Coluber constrictor",1,""
"30-May-03",825,"snake trap","Pantherophis guttatus",1,""
"30-May-03",1645,"snake trap","Coluber constrictor",1,""
"31-May-03",1730,"snake trap","Mastocophis flagellum",1,""
"2-Jun-03",1800,"snake trap","Coluber constrictor",1,""
"5-Jun-03",730,"bucket","Seminatrix pygaea",1,""
"5-Jun-03",730,"bucket","Diadophis punctatus",1,""
"8-Jun-03",1840,"bucket","Nerodia floridana",1,""
"16-Jun-03",855,"bucket","Seminatrix pygaea",1,""
"18-Jun-03",824,"bucket","Seminatrix pygaea",1,""
"19-Jun-03",830,"bucket","Seminatrix pygaea",1,""
"20-Jun-03",830,"bucket","Seminatrix pygaea",1,""
"20-Jun-03",830,"bucket","Seminatrix pygaea",1,""
"20-Jun-03",830,"bucket","Nerodia floridana",1,"DROWNED"
"20-Jun-03",1830,"snake trap","Coluber constrictor",1,""
"20-Jun-03",1830,"snake trap","Coluber constrictor",1,""
"21-Jun-03",1700,"snake trap","Coluber constrictor",1,""
"21-Jun-03",1700,"snake trap","Coluber constrictor",1,""
"22-Jun-03",909,"bucket","Seminatrix pygaea",1,"NEW"
"22-Jun-03",909,"bucket","Diadophis punctatus",1,""
"22-Jun-03",1700,"snake trap","Agkistrodon piscivorus",1,""
"22-Jun-03",1700,"snake trap","Coluber constrictor",1,""
"22-Jun-03",1700,"snake trap","Coluber constrictor",1,""
"22-Jun-03",1700,"snake trap","Coluber constrictor",1,""
"24-Jun-03",1820,"snake trap","Coluber constrictor",1,""
"26-Jun-03",823,"bucket","Storeria occipitomaculata",1,"ADULT M"
"26-Jun-03",1625,"snake trap","Coluber constrictor",1,""
"26-Jun-03",1625,"snake trap","Coluber constrictor",1,""
"27-Jun-03",835,"snake trap","Thamnophis sauritus",1,"JUV"
"27-Jun-03",835,"snake trap","Coluber constrictor",1,"UNMRKD"
"27-Jun-03",1630,"snake trap","Coluber constrictor",1,""
"28-Jun-03",900,"snake trap","Coluber constrictor",1,"BRAND LOOKS HEALTHY"
"30-Jun-03",1715,"snake trap","Coluber constrictor",1,""
"1-Jul-03",845,"bucket","Seminatrix pygaea",1,"F"
"1-Jul-03",1715,"snake trap","Agkistrodon piscivorus",1,""
"2-Jul-03",830,"bucket","Seminatrix pygaea",1,""
"2-Jul-03",1800,"snake trap","Thamnophis sauritus",1,"JUV"
"2-Jul-03",1800,"snake trap","Agkistrodon piscivorus",1,""
"3-Jul-03",1825,"snake trap","Coluber constrictor",1,"NEMACIATED"
"5-Jul-03",1730,"snake trap","Agkistrodon piscivorus",1,""
"6-Jul-03",826,"bucket","Seminatrix pygaea",1,""
"6-Jul-03",1730,"snake trap","Agkistrodon piscivorus",1,""
"6-Jul-03",1730,"snake trap","Coluber constrictor",1,""
"6-Jul-03",1730,"snake trap","Coluber constrictor",1,""
"7-Jul-03",906,"bucket","Seminatrix pygaea",1,"DIED IN TRANSIT WHILE RTL"
"8-Jul-03",1800,"bucket","Agkistrodon piscivorus",1,""
"9-Jul-03",1830,"bucket","Seminatrix pygaea",1,""
"9-Jul-03",1830,"snake trap","Agkistrodon piscivorus",1,""
"11-Jul-03",1733,"snake trap","Coluber constrictor",1,""
"13-Jul-03",2000,"bucket","Diadophis punctatus",1,""
"14-Jul-03",1745,"bucket","Seminatrix pygaea",1,""
"15-Jul-03",1630,"snake trap","Agkistrodon piscivorus",1,""
"16-Jul-03",1720,"snake trap","Coluber constrictor",1,""
"16-Jul-03",1720,"snake trap","Coluber constrictor",1,""
"17-Jul-03",830,"bucket","Nerodia floridana",1,""
"19-Jul-03",1855,"snake trap","Thamnophis sauritus",1,""
"19-Jul-03",1855,"snake trap","Coluber constrictor",1,""
"21-Jul-03",1745,"snake trap","Agkistrodon piscivorus",1,""
"22-Jul-03",830,"bucket","Cemophora coccinea",1,""
"25-Jul-03",830,"bucket","Storeria occipitomaculata",1,""
"27-Jul-03",1850,"snake trap","Thamnophis sauritus",1,""
"28-Jul-03",826,"bucket","Nerodia fasciata",1,""
"28-Jul-03",826,"bucket","Nerodia fasciata",1,""
"28-Jul-03",826,"snake trap","Agkistrodon piscivorus",1,""
"28-Jul-03",1910,"snake trap","Agkistrodon piscivorus",1,""
"30-Jul-03",845,"bucket","Seminatrix pygaea",1,""
"30-Jul-03",1815,"snake trap","Nerodia fasciata",1,""
"30-Jul-03",845,"snake trap","Thamnophis sauritus",1,""
"31-Jul-03",838,"bucket","Seminatrix pygaea",1,"YOTY"
"31-Jul-03",1945,"snake trap","Agkistrodon piscivorus",1,""
"1-Aug-03",830,"snake trap","Thamnophis sauritus",1,""
"2-Aug-03",1930,"bucket","Seminatrix pygaea",1,""
"4-Aug-03",1845,"bucket","Thamnophis sauritus",1,""
"4-Aug-03",845,"bucket","Diadophis punctatus",1,""
"5-Aug-03",1800,"coffee can","Seminatrix pygaea",1,"JUV"
"5-Aug-03",1800,"coffee can","Seminatrix pygaea",1,"JUV"
"5-Aug-03",1800,"snake trap","Agkistrodon piscivorus",1,""
"6-Aug-03",847,"bucket","Seminatrix pygaea",1,"NEONATE"
"6-Aug-03",847,"bucket","Seminatrix pygaea",1,"NEONATE"
"6-Aug-03",1825,"bucket","Nerodia fasciata",1,""
"6-Aug-03",1825,"bucket","Thamnophis sauritus",1,""
"6-Aug-03",1825,"snake trap","Opheodrys aestivus",1,""
"7-Aug-03",830,"coffee can","Seminatrix pygaea",1,"NEONATE"
"7-Aug-03",1830,"snake trap","Thamnophis sauritus",1,""
"8-Aug-03",845,"bucket","Seminatrix pygaea",1,""
"8-Aug-03",845,"bucket","Seminatrix pygaea",1,"Y OF YEAR"
"9-Aug-03",940,"bucket","Seminatrix pygaea",1,"NEONATE"
"9-Aug-03",940,"coffee can","Seminatrix pygaea",1,"NEONATE"
"10-Aug-03",830,"bucket","Seminatrix pygaea",1,""
"10-Aug-03",830,"bucket","Seminatrix pygaea",1,""
"10-Aug-03",1806,"bucket","Seminatrix pygaea",1,""
"11-Aug-03",1015,"coffee can","Seminatrix pygaea",1,"NEONATE"
"11-Aug-03",1800,"coffee can","Seminatrix pygaea",1,"NEONATE"
"12-Aug-03",955,"bucket","Seminatrix pygaea",1,"NEONATE"
"12-Aug-03",955,"bucket","Seminatrix pygaea",1,"NEONATE"
"12-Aug-03",955,"bucket","Seminatrix pygaea",1,"NEONATE"
"12-Aug-03",1830,"bucket","Seminatrix pygaea",1,"NEONATE"
"12-Aug-03",1830,"bucket","Seminatrix pygaea",1,"NEONATE"
"12-Aug-03",1830,"bucket","Seminatrix pygaea",1,"NEONATE"
"12-Aug-03",955,"bucket","Nerodia fasciata",1,"NEONATE"
"12-Aug-03",955,"coffee can","Seminatrix pygaea",1,"NEONATE"
"12-Aug-03",1830,"coffee can","Seminatrix pygaea",1,"NEONATE"
"13-Aug-03",1830,"bucket","Seminatrix pygaea",1,""
"13-Aug-03",1830,"bucket","Seminatrix pygaea",1,""
"13-Aug-03",1830,"bucket","Seminatrix pygaea",1,""
"13-Aug-03",1830,"coffee can","Seminatrix pygaea",1,""
"13-Aug-03",1830,"snake trap","Coluber constrictor",1,""
"14-Aug-03",823,"bucket","Seminatrix pygaea",1,"NEONATE"
"14-Aug-03",823,"bucket","Seminatrix pygaea",1,"NEONATE"
"14-Aug-03",823,"bucket","Seminatrix pygaea",1,"NEONATE"
"14-Aug-03",823,"bucket","Seminatrix pygaea",1,"NEONATE"
"14-Aug-03",823,"bucket","Seminatrix pygaea",2,"NEONATE"
"14-Aug-03",1930,"bucket","Seminatrix pygaea",1,""
"14-Aug-03",1930,"bucket","Cemophora coccinea",1,""
"14-Aug-03",823,"coffee can","Seminatrix pygaea",1,"NEONATE"
"14-Aug-03",823,"coffee can","Seminatrix pygaea",2,"NEONATE"
"14-Aug-03",823,"snake trap","Nerodia fasciata",1,"NEONATE"
"15-Aug-03",1010,"bucket","Seminatrix pygaea",1,"NEONATE"
"15-Aug-03",1010,"bucket","Seminatrix pygaea",1,"NEONATE"
"15-Aug-03",1010,"bucket","Seminatrix pygaea",1,"NEONATE"
"15-Aug-03",1010,"bucket","Seminatrix pygaea",1,"NEONATE"
"15-Aug-03",1800,"bucket","Seminatrix pygaea",1,"NEONATE"
"15-Aug-03",1800,"bucket","Seminatrix pygaea",1,"NEONATE"
"15-Aug-03",1010,"coffee can","Seminatrix pygaea",1,""
"15-Aug-03",1010,"coffee can","Seminatrix pygaea",1,"NEONATE"
"16-Aug-03",1845,"snake trap","Nerodia fasciata",1,""
"17-Aug-03",1000,"bucket","Seminatrix pygaea",1,""
"17-Aug-03",1900,"bucket","Seminatrix pygaea",1,""
"17-Aug-03",1000,"bucket","Thamnophis sauritus",1,""
"17-Aug-03",1000,"coffee can","Seminatrix pygaea",1,""
"18-Aug-03",843,"bucket","Seminatrix pygaea",1,"NEONATE"
"18-Aug-03",843,"bucket","Seminatrix pygaea",1,"NEONATE"
"18-Aug-03",843,"bucket","Seminatrix pygaea",2,"NEONATE"
"18-Aug-03",1830,"bucket","Seminatrix pygaea",1,""
"18-Aug-03",1830,"bucket","Seminatrix pygaea",1,"JUV"
"19-Aug-03",1810,"bucket","Seminatrix pygaea",1,"NEONATE"
"19-Aug-03",741,"bucket","Diadophis punctatus",1,""
"19-Aug-03",1810,"snake trap","Nerodia fasciata",1,""
"20-Aug-03",903,"bucket","Seminatrix pygaea",1,""
"20-Aug-03",903,"bucket","Seminatrix pygaea",1,""
"20-Aug-03",903,"bucket","Seminatrix pygaea",1,""
"20-Aug-03",903,"bucket","Seminatrix pygaea",1,""
"20-Aug-03",1755,"bucket","Seminatrix pygaea",1,""
"20-Aug-03",903,"bucket","Diadophis punctatus",1,""
"20-Aug-03",1755,"snake trap","Coluber constrictor",1,"NEONATE"
"21-Aug-03",915,"bucket","Seminatrix pygaea",1,""
"21-Aug-03",1815,"bucket","Seminatrix pygaea",1,""
"21-Aug-03",1815,"bucket","Seminatrix pygaea",1,""
"21-Aug-03",1815,"bucket","Seminatrix pygaea",1,""
"22-Aug-03",900,"bucket","Seminatrix pygaea",1,"NEONATE"
"22-Aug-03",900,"bucket","Seminatrix pygaea",1,"NEONATE"
"22-Aug-03",900,"bucket","Seminatrix pygaea",1,"NEONATE"
"22-Aug-03",900,"bucket","Seminatrix pygaea",1,"NEONATE"
"22-Aug-03",900,"bucket","Seminatrix pygaea",1,"NEONATE"
"22-Aug-03",900,"bucket","Seminatrix pygaea",1,"NEONATE"
"22-Aug-03",900,"bucket","Seminatrix pygaea",1,"NEONATE"
"22-Aug-03",1815,"bucket","Seminatrix pygaea",1,"NEONATE"
"22-Aug-03",900,"snake trap","Coluber constrictor",1,""
"23-Aug-03",930,"bucket","Seminatrix pygaea",1,""
"23-Aug-03",930,"bucket","Seminatrix pygaea",1,""
"24-Aug-03",920,"bucket","Seminatrix pygaea",1,""
"24-Aug-03",920,"bucket","Seminatrix pygaea",1,""
"24-Aug-03",1800,"bucket","Seminatrix pygaea",1,"NEONATE"
"25-Aug-03",841,"bucket","Seminatrix pygaea",1,"NEONATE"
"25-Aug-03",1800,"snake trap","Coluber constrictor",1,""
"26-Aug-03",842,"bucket","Seminatrix pygaea",1,"NEONATE"
"26-Aug-03",1804,"bucket","Seminatrix pygaea",1,"NEONATE"
"26-Aug-03",1804,"bucket","Seminatrix pygaea",1,"NEONATE"
"26-Aug-03",1804,"bucket","Seminatrix pygaea",1,"NEONATE"
"26-Aug-03",1804,"snake trap","Nerodia fasciata",1,""
"27-Aug-03",1800,"bucket","Seminatrix pygaea",1,"RECAP TAIL CLIPPED"
"27-Aug-03",1800,"snake trap","Nerodia erythrogaster",1,"RECECNT REC NOT RTL"
"28-Aug-03",1000,"bucket","Seminatrix pygaea",1,""
"28-Aug-03",1000,"bucket","Seminatrix pygaea",1,""
"28-Aug-03",1000,"bucket","Seminatrix pygaea",1,""
"28-Aug-03",1845,"bucket","Seminatrix pygaea",1,"NEONATE"
"28-Aug-03",1845,"bucket","Seminatrix pygaea",1,"NEONATE"
"28-Aug-03",1845,"bucket","Seminatrix pygaea",1,"NEONATE"
"28-Aug-03",1845,"bucket","Seminatrix pygaea",1,"NEONATE"
"28-Aug-03",1845,"coffee can","Seminatrix pygaea",1,"NEONATE"
"28-Aug-03",1845,"coffee can","Seminatrix pygaea",1,"NEONATE"
"28-Aug-03",1845,"snake trap","Coluber constrictor",1,"NEONATE"
"29-Aug-03",930,"bucket","Seminatrix pygaea",1,"HATCHLING"
"29-Aug-03",930,"bucket","Seminatrix pygaea",1,"HATCHLING"
"29-Aug-03",1810,"bucket","Seminatrix pygaea",1,""
"29-Aug-03",1810,"coffee can","Seminatrix pygaea",1,""
"29-Aug-03",1810,"snake trap","Thamnophis sirtalis",1,""
"29-Aug-03",1810,"snake trap","Coluber constrictor",1,""
"29-Aug-03",1810,"snake trap","Coluber constrictor",1,""
"29-Aug-03",1810,"snake trap","Coluber constrictor",1,""
"30-Aug-03",930,"bucket","Seminatrix pygaea",1,"NEONATE"
"30-Aug-03",930,"bucket","Seminatrix pygaea",1,"DIB "
"30-Aug-03",930,"bucket","Seminatrix pygaea",1,"NEONATE"
"30-Aug-03",1800,"bucket","Seminatrix pygaea",1,""
"30-Aug-03",1800,"snake trap","Heterodon platirhinos",1,""
"30-Aug-03",1800,"snake trap","Coluber constrictor",1,""
"31-Aug-03",930,"bucket","Seminatrix pygaea",1,"NEONATE"
"31-Aug-03",1730,"bucket","Seminatrix pygaea",1,"NEONATE"
"31-Aug-03",1730,"bucket","Seminatrix pygaea",1,"NEONATE"
"31-Aug-03",930,"bucket","Nerodia fasciata",1,"NEONATE"
"1-Sep-03",1830,"bucket","Seminatrix pygaea",1,""
"2-Sep-03",748,"bucket","Seminatrix pygaea",1,"NEONATE"
"2-Sep-03",1730,"snake trap","Nerodia fasciata",1,"NEONATE"
"3-Sep-03",845,"coffee can","Seminatrix pygaea",1,""
"3-Sep-03",1745,"snake trap","Coluber constrictor",1,"NEONATE"
"4-Sep-03",1725,"bucket","Seminatrix pygaea",1,"NEONATE"
"4-Sep-03",830,"snake trap","Farancia erytrogramma",1,""
"4-Sep-03",1725,"snake trap","Coluber constrictor",1,"NEONATE"
"4-Sep-03",1725,"snake trap","Coluber constrictor",1,"ADULT"
"5-Sep-03",1800,"snake trap","Diadophis punctatus",1,""
"9-Sep-03",1645,"snake trap","Thamnophis sauritus",1,""
"9-Sep-03",1645,"snake trap","Coluber constrictor",1,"JUV"
"9-Sep-03",1645,"snake trap","Coluber constrictor",1,"JUV"
"10-Sep-03",915,"bucket","Seminatrix pygaea",1,"NEONATE"
"10-Sep-03",1810,"snake trap","Coluber constrictor",1,""
"11-Sep-03",1630,"snake trap","Coluber constrictor",1,""
"12-Sep-03",1730,"snake trap","Coluber constrictor",1,"NEONATE"
"12-Sep-03",1730,"snake trap","Coluber constrictor",1,"NEONATE"
"13-Sep-03",1630,"snake trap","Coluber constrictor",1,""
"13-Sep-03",1630,"snake trap","Coluber constrictor",1,""
"13-Sep-03",1630,"snake trap","Coluber constrictor",1,"REGURGITATED NEONATE"
"15-Sep-03",840,"bucket","Seminatrix pygaea",1,""
"15-Sep-03",840,"bucket","Thamnophis sauritus",1,""
"15-Sep-03",1700,"coffee can","Seminatrix pygaea",1,"REC NEONATE LET GO"
"16-Sep-03",1745,"bucket","Thamnophis sauritus",1,"NEONATE  "
"16-Sep-03",1745,"bucket","Agkistrodon piscivorus",1,"YOUNG OF YEAR?"
"16-Sep-03",1745,"bucket","Thamnophis sirtalis",1,"YOUNG OF YEAR?"
"16-Sep-03",1745,"snake trap","Mastocophis flagellum",1,"NEONATE"
"16-Sep-03",850,"snake trap","Coluber constrictor",1,"NEONATE WITH BELLY SCAR"
"16-Sep-03",1745,"snake trap","Coluber constrictor",1,""
"17-Sep-03",1745,"bucket","Seminatrix pygaea",1,"NEONATE, ANTS ATE"
"17-Sep-03",1745,"bucket","Nerodia floridana",1,""
"17-Sep-03",1745,"bucket","Coluber constrictor",1,"NEONATE"
"17-Sep-03",905,"snake trap","Nerodia fasciata",1,"UNMRKD"
"17-Sep-03",905,"snake trap","Farancia abacura",1,"UNMRKD"
"18-Sep-03",1830,"snake trap","Coluber constrictor",1,""
"18-Sep-03",1830,"snake trap","Coluber constrictor",1,""
"19-Sep-03",905,"snake trap","Nerodia fasciata",1,""
"19-Sep-03",905,"snake trap","Coluber constrictor",1,"NEONATE"
"19-Sep-03",1830,"snake trap","Coluber constrictor",1,""
"20-Sep-03",1730,"snake trap","Coluber constrictor",1,"NEONATE"
"21-Sep-03",1730,"bucket","Heterodon platirhinos",1,"NEONATE"
"21-Sep-03",1730,"coffee can","Diadophis punctatus",1,"NEONATE"
"21-Sep-03",1730,"snake trap","Coluber constrictor",1,""
"22-Sep-03",920,"bucket","Seminatrix pygaea",1,"NEONATE LET GO "
"23-Sep-03",1700,"snake trap","Coluber constrictor",1,""
"24-Sep-03",850,"snake trap","Farancia abacura",1,""
"24-Sep-03",1625,"snake trap","Coluber constrictor",1,""
"25-Sep-03",1745,"snake trap","Heterodon platirhinos",1,"NEONATE"
"26-Sep-03",900,"bucket","Thamnophis sirtalis",1,""
"26-Sep-03",1710,"snake trap","Coluber constrictor",1,"NEONATE"
"26-Sep-03",1710,"snake trap","Coluber constrictor",1,"NEONATE"
"27-Sep-03",1030,"bucket","Seminatrix pygaea",1,"NEONATE"
"27-Sep-03",1830,"bucket","Thamnophis sauritus",1,"NEONATE"
"28-Sep-03",1730,"snake trap","Coluber constrictor",1,"NEONATE UNMRKD"
"29-Sep-03",930,"snake trap","Nerodia fasciata",1,""
"29-Sep-03",1700,"snake trap","Coluber constrictor",1,"SUBADULT "
"30-Sep-03",1745,"snake trap","Heterodon platirhinos",1,"ADULT  "
"30-Sep-03",1745,"snake trap","Coluber constrictor",1,"NEONATE UNMRKD"
"30-Sep-03",1745,"snake trap","Coluber constrictor",1,"NEONATE UNMRKD"
"30-Sep-03",1745,"snake trap","Coluber constrictor",1,"ADULT MRKD"
"1-Oct-03",915,"bucket","Thamnophis sauritus",1,"NEONATE"
"1-Oct-03",1740,"snake trap","Heterodon platirhinos",1,""
"1-Oct-03",1740,"snake trap","Coluber constrictor",1,""
"1-Oct-03",1740,"snake trap","Coluber constrictor",1,""
"2-Oct-03",850,"snake trap","Coluber constrictor",1,"NEONATE UNMRKD"
"2-Oct-03",850,"snake trap","Coluber constrictor",1,"NEONATE UNMRKD"
"3-Oct-03",1630,"snake trap","Heterodon platirhinos",1,""
"4-Oct-03",1900,"snake trap","Thamnophis sirtalis",1,""
"4-Oct-03",1900,"snake trap","Coluber constrictor",1,"NEONATE"
"4-Oct-03",1900,"snake trap","Coluber constrictor",1,""
"5-Oct-03",1635,"snake trap","Coluber constrictor",1,"NEONATE UNMRKD"
"13-Oct-03",1840,"snake trap","Agkistrodon piscivorus",1,"JUV"
"13-Oct-03",1840,"snake trap","Agkistrodon piscivorus",1,""
"13-Oct-03",1840,"snake trap","Coluber constrictor",1,"REPTILE RUN ONLY"
"14-Oct-03",1055,"snake trap","Farancia erytrogramma",1,"UNDER TRAP"
"14-Oct-03",1055,"snake trap","Agkistrodon piscivorus",1,"JUV"
"14-Oct-03",1800,"snake trap","Coluber constrictor",1,""
"15-Oct-03",1645,"snake trap","Thamnophis sauritus",1,"ADULT NEW CAPTURE"
"16-Oct-03",930,"coffee can","Seminatrix pygaea",1,""
"17-Oct-03",1800,"snake trap","Agkistrodon piscivorus",1,""
"17-Oct-03",1800,"snake trap","Agkistrodon piscivorus",1,""
"17-Oct-03",920,"snake trap","Coluber constrictor",1,""
"20-Oct-03",1710,"snake trap","Heterodon platirhinos",1,"ADULT MARKED"
"20-Oct-03",1710,"snake trap","Coluber constrictor",1,"NEONATE UNMRKD"
"21-Oct-03",1715,"snake trap","Heterodon platirhinos",1,"UNMRKD"
"21-Oct-03",1715,"snake trap","Agkistrodon piscivorus",1,""
"22-Oct-03",940,"bucket","Thamnophis sirtalis",1,"NEONATE"
"22-Oct-03",940,"snake trap","Coluber constrictor",1,"NEONATE"
"23-Oct-03",1725,"snake trap","Thamnophis sauritus",1,""
"23-Oct-03",915,"snake trap","Agkistrodon piscivorus",1,""
"23-Oct-03",915,"snake trap","Thamnophis sirtalis",1,""
"24-Oct-03",1705,"bucket","Thamnophis sirtalis",1,"NEONATE"
"25-Oct-03",1450,"snake trap","Agkistrodon piscivorus",1,""
"26-Oct-03",1635,"snake trap","Agkistrodon piscivorus",1,""
"26-Oct-03",1635,"snake trap","Agkistrodon piscivorus",2,""
